Time,Fees,Profit,Shares
1731614337.375199,13,1250,250
1731614339.854471,13,1250,250
1731614342.331746,72,8000,1600
1731614344.805194,28,3000,600
1731614347.3102112,72,8000,1600
1731614349.767767,72,8000,1600
1731614352.100384,72,8000,1600
1731614354.563599,28,3000,600
1731614357.037229,28,3000,600
1731614359.577406,72,6400,1600
1731614362.127977,72,6400,1600
1731614364.610154,72,6400,1600
1731614367.1006231,28,3000,600
1731614369.702523,28,3000,600
1731614372.2367191,19,1600,400
1731614374.7582872,20,2000,400
1731614376.976801,20,2000,400
1731614379.396002,29,2400,600
1731614381.9174342,47,5000,1000
1731614384.307242,33,2800,700
1731614386.635204,79,8500,1700
1731614389.064645,33,4200,700
1731614391.473554,13,1250,250
1731614393.7909818,19,2400,400
1731614396.2061682,19,2400,400
1731614398.6733289,19,2400,400
1731614401.220078,19,2400,400
1731614403.661752,13,1250,250
1731614409.229881,13,1000,250
1731614411.612917,4,178,178
1731614414.969579,76,4800,1600
1731614414.969614,4,178,178
1731614418.431293,24,1000,500
1731614418.43135,4,178,178
1731614421.9564989,16,600,300
1731614421.956667,4,356,178
1731614425.485305,66,2800,1400
1731614425.485323,4,178,178
1731614428.828631,20,800,400
1731614428.828644,4,178,178
1731614432.317875,76,4800,1600
1731614432.317915,4,178,178
1731614435.7313228,24,1000,500
1731614435.731342,4,178,178
1731614439.761346,11,600,200
1731614442.237788,11,600,200
1731614444.723618,24,1500,500
1731614448.196821,11,600,200
1731614448.1968372,4,178,178
1731614451.6820211,30,1800,600
1731614451.68206,4,178,178
1731614455.1933372,30,1800,600
1731614455.193353,4,356,178
1731614458.526838,48,2000,1000
1731614458.526902,4,356,178
1731614462.104876,30,1800,600
1731614462.104909,4,356,178
1731614465.606017,12,1200,200
1731614465.606074,4,356,178
1731614469.1160362,16,1800,300
1731614469.116073,3,712,178
1731614472.594789,16,1800,300
1731614472.594846,3,712,178
1731614476.1266198,13,1750,250
1731614476.126652,3,712,178
1731614479.4777951,40,5663,809
1731614479.4778519,3,712,178
1731614482.724524,40,4854,809
1731614482.724558,3,712,178
1731614486.057587,40,4854,809
1731614486.057622,3,712,178
1731614489.408811,40,4854,809
1731614489.408851,3,712,178
1731614492.8789492,40,4045,809
1731614492.878985,3,712,178
1731614496.313749,89,1900,1900
1731614496.313774,3,712,178
1731614499.9171689,48,6000,1000
1731614499.917206,3,712,178
1731614503.409974,70,7215,1443
1731614503.41001,3,200,50
1731614506.984745,34,693,693
1731614506.984787,3,200,50
1731614510.42928,28,2240,560
1731614510.429313,3,200,50
1731614513.708024,28,2240,560
1731614513.7080388,3,312,78
1731614516.827265,28,2800,560
1731614516.827295,3,312,78
1731614520.305504,28,2800,560
1731614520.305535,3,312,78
1731614523.76621,28,2800,560
1731614523.7662668,3,312,78
1731614527.333497,143,12000,3000
1731614527.3335261,3,180,45
1731614530.839217,143,12000,3000
1731614530.839254,3,164,41
1731614534.158148,3,250,50
1731614534.1582038,3,164,41
1731614537.607987,97,12000,2000
1731614537.608047,3,205,41
1731614540.880346,49,6000,1000
1731614540.880378,3,205,41
1731614544.2320452,96,10000,2000
1731614544.232079,3,300,75
1731614547.653633,6,300,100
1731614547.6536891,3,300,75
1731614551.03652,6,400,100
1731614551.036556,3,300,75
1731614554.516829,6,400,100
1731614554.5168471,3,300,75
1731614558.1517591,6,600,100
1731614558.151778,3,300,75
1731614561.609225,6,100,100
1731614561.609233,3,300,75
1731614564.782298,6,200,100
1731614564.782311,8,2300,575
1731614568.117207,6,200,100
1731614568.117232,3,300,75
1731614571.404555,6,200,100
1731614571.404586,3,300,75
1731614573.857263,3,300,75
1731614577.0697222,6,200,100
1731614577.069736,3,300,75
1731614580.2057521,6,200,100
1731614580.2057679,3,300,75
1731614583.4396439,6,300,100
1731614583.439657,3,300,75
1731614586.9725718,6,500,100
1731614586.9726,3,300,75
1731614590.2839522,6,600,100
1731614590.283972,3,300,75
1731614593.7776482,6,600,100
1731614593.777664,3,300,75
1731614597.101353,6,400,100
1731614597.101383,3,300,75
1731614600.622623,6,1300,100
1731614600.622664,3,300,75
1731614603.793796,6,1300,100
1731614603.7938402,3,300,75
1731614607.044201,6,1300,100
1731614607.044215,13,4000,1000
1731614610.586048,6,1116,93
1731614610.5860538,13,4000,1000
1731614614.0556312,6,1116,93
1731614614.055638,13,4000,1000
1731614617.435533,6,1116,93
1731614617.4355578,13,4000,1000
1731614620.6801941,6,1116,93
1731614620.680212,3,400,100
1731614624.151677,6,1116,93
1731614624.151689,13,4000,1000
1731614627.4022799,6,1116,93
1731614627.4023108,13,4000,1000
1731614630.753752,6,1116,93
1731614630.753793,13,4000,1000
1731614634.115099,6,1104,92
1731614634.11511,13,4000,1000
1731614637.355707,4,660,60
1731614637.355736,13,4000,1000
1731614640.8887591,31,4880,610
1731614640.8887749,13,4000,1000
1731614644.3546371,31,4880,610
1731614644.354666,13,4000,1000
1731614647.82355,31,4880,610
1731614647.8235872,3,200,50
1731614651.4463592,31,4200,600
1731614651.4464011,12,5000,1000
1731614654.691235,48,2994,998
1731614654.691249,12,5000,1000
1731614658.1839712,12,1350,225
1731614658.18399,12,5000,1000
1731614661.487584,3,45,15
1731614661.4876091,12,5000,1000
1731614665.037036,3,45,15
1731614665.037049,11,3915,783
1731614668.442912,3,45,15
1731614668.4429288,11,3915,783
1731614671.854347,3,30,15
1731614671.854374,11,3915,783
1731614675.09856,3,30,15
1731614675.098582,11,3915,783
1731614678.6652422,3,30,15
1731614678.6652648,11,3915,783
1731614681.949409,3,30,15
1731614681.94944,11,3915,783
1731614685.309866,3,30,15
1731614685.3098931,11,3915,783
1731614687.718144,11,3915,783
1731614690.850782,3,19,19
1731614690.850813,9,3415,683
1731614694.417239,26,1172,1172
1731614694.417254,9,3415,683
1731614696.8445098,6,2500,500
1731614699.3024168,9,3415,683
1731614701.7809448,9,3415,683
1731614704.192155,9,3415,683
1731614706.600281,9,3415,683
1731614710.118241,26,1172,1172
1731614710.118259,9,3415,683
1731614712.3457081,9,3415,683
1731614714.8350341,9,3415,683
1731614717.149655,9,3415,683
1731614719.659331,9,3415,683
1731614722.070868,9,3415,683
1731614724.268517,9,3415,683
1731614726.500382,9,3415,683
1731614729.006336,9,3415,683
1731614731.404883,9,3415,683
1731614733.826251,9,3415,683
1731614737.1873448,5,344,172
1731614737.187359,9,3415,683
1731614741.463281,6,100,100
1731614741.463331,5,344,172
1731614741.4633422,9,3415,683
1731614744.9078789,5,688,172
1731614744.907902,9,3415,683
1731614749.4521239,22,523,523
1731614749.452152,4,366,122
1731614749.4521558,9,3415,683
1731614752.597277,3,66,22
1731614752.5972888,17,6525,1305
1731614755.853744,3,44,22
1731614755.853776,17,6525,1305
1731614759.018774,3,44,22
1731614759.018803,17,6525,1305
1731614764.249622,3,1,1
1731614764.2496388,6,83,83
1731614764.249643,3,56,28
1731614764.2496471,3,440,88
1731614767.726642,13,284,284
1731614767.7266738,3,440,88
1731614771.292552,4,78,78
1731614771.292594,3,440,88
1731614774.7557702,4,78,78
1731614774.75579,3,440,88
1731614777.262799,3,440,88
1731614779.739486,3,440,88
1731614783.113363,4,78,78
1731614783.115366,3,440,88
1731614785.5554361,3,440,88
1731614789.1108649,4,78,78
1731614789.110871,3,440,88
1731614792.1628501,10,200,200
1731614792.16288,3,440,88
1731614795.738465,3,4,1
1731614795.738493,3,440,88
1731614799.292425,3,4,1
1731614799.292434,3,440,88
1731614801.730914,3,440,88
1731614804.970735,10,800,200
1731614804.970752,3,440,88
1731614808.84778,3,4,1
1731614808.847818,7,324,162
1731614808.847827,3,440,88
1731614813.2628999,6,400,100
1731614813.262948,9,462,231
1731614813.262954,3,440,88
1731614815.632115,3,440,88
1731614818.177693,3,440,88
1731614820.673742,3,110,22
1731614823.947265,6,300,100
1731614823.947293,3,110,22
1731614827.184279,6,300,100
1731614827.184308,3,110,22
1731614830.828366,6,300,100
1731614830.8286011,3,250,50
1731614834.218633,27,2392,598
1731614834.218642,3,440,88
1731614837.5856268,6,490,98
1731614837.5856571,3,440,88
1731614840.264983,3,440,88
1731614842.720844,3,440,88
1731614846.317028,3,32,16
1731614846.317069,3,440,88
1731614849.718658,3,80,16
1731614849.7187,3,440,88
1731614852.908074,3,64,16
1731614852.9080908,3,440,88
1731614856.455523,3,64,16
1731614856.455551,3,440,88
1731614859.725298,3,3,1
1731614859.725324,3,440,88
1731614864.37461,3,32,16
1731614864.374641,3,100,100
1731614864.374646,3,440,88
1731614868.5849102,3,80,16
1731614868.584936,3,100,100
1731614868.5849411,3,440,88
1731614874.2826638,3,64,16
1731614874.282673,23,500,500
1731614874.282676,3,100,100
1731614874.2826781,3,440,88
1731614878.849051,3,96,16
1731614878.8490791,3,100,100
1731614878.849083,3,440,88
1731614883.175264,3,96,16
1731614883.17537,3,100,100
1731614883.175374,3,440,88
1731614886.42095,3,100,100
1731614886.4209669,3,440,88
1731614889.462636,3,100,100
1731614889.462664,3,440,88
1731614893.023681,4,200,200
1731614893.023714,3,300,60
1731614896.226474,4,200,200
1731614896.2265012,3,300,60
1731614899.991874,4,200,200
1731614899.991897,3,300,60
1731614902.969117,4,400,200
1731614902.969134,3,300,60
1731614907.313361,3,20,20
1731614907.313389,4,400,200
1731614907.3133929,3,300,60
1731614911.755868,3,19,19
1731614911.7558951,4,400,200
1731614911.755899,3,300,60
1731614916.020907,3,19,19
1731614916.0209339,4,400,200
1731614916.020939,3,300,60
1731614919.680792,4,400,200
1731614919.6808178,3,300,60
1731614924.3820622,3,38,19
1731614924.382095,4,400,200
1731614924.382099,3,300,60
1731614928.5966852,6,294,98
1731614928.5967948,4,400,200
1731614928.596802,3,300,60
1731614933.282207,15,1272,318
1731614933.282248,4,600,200
1731614933.282253,3,300,60
1731614937.9587631,15,1590,318
1731614937.958784,4,600,200
1731614937.958789,3,300,60
1731614942.0994198,15,954,318
1731614942.099434,4,600,200
1731614942.099453,3,300,60
1731614946.341245,15,300,300
1731614946.341276,4,400,200
1731614946.3412821,3,300,60
1731614950.698295,15,300,300
1731614950.698325,4,400,200
1731614950.6983302,3,300,60
1731614954.1618829,4,400,200
1731614954.1619132,3,300,60
1731614957.8263521,4,400,200
1731614957.82638,3,300,60
1731614962.0221472,10,400,200
1731614962.022182,4,400,200
1731614962.02219,3,300,60
1731614965.365341,4,400,200
1731614965.365367,3,300,60
1731614969.887373,10,200,200
1731614969.887398,4,400,200
1731614969.887402,3,300,60
1731614974.187953,10,800,200
1731614974.187985,19,1455,1455
1731614974.187989,3,300,60
1731614978.3838341,5,296,74
1731614978.383868,19,1455,1455
1731614978.383879,3,300,60
1731614982.9923892,5,296,74
1731614982.992408,19,1455,1455
1731614982.992413,3,300,60
1731614987.310765,5,222,74
1731614987.3108008,19,1455,1455
1731614987.310813,3,300,60
1731614990.742781,19,1455,1455
1731614990.74281,3,300,60
1731614994.243804,19,1455,1455
1731614994.2438169,3,300,60
1731614997.5819452,19,1455,1455
1731614997.581982,3,300,60
1731615001.041655,19,1455,1455
1731615001.041685,3,300,60
1731615004.6004539,19,1455,1455
1731615004.600479,3,300,60
1731615008.1626828,19,1455,1455
1731615008.16271,3,300,60
1731615011.537784,19,1455,1455
1731615011.537813,3,300,60
1731615014.885157,19,1455,1455
1731615014.885189,3,300,60
1731615018.2499342,19,1455,1455
1731615018.249968,3,300,60
1731615021.791897,19,1455,1455
1731615021.791923,3,300,60
1731615025.2700741,15,1100,1100
1731615025.270102,3,300,60
1731615028.742013,26,2000,2000
