Time,Fees,Profit,Shares
1731621932.49871,,,
1731621933.5065222,,,
1731621934.4136782,,,
1731621935.441191,,,
1731621936.331392,,,
1731621937.386476,,,
1731621938.430124,,,
1731621939.504748,,,
1731621940.5735621,,,
1731621941.634888,,,
1731621942.667718,,,
1731621943.589634,,,
1731621944.642635,,,
1731621945.680605,,,
1731621946.722037,,,
1731621947.814084,,,
1731621948.8739579,,,
1731621949.894573,,,
1731621950.932401,,,
1731621952.00956,,,
1731621953.05566,,,
1731621954.1,,,
1731621955.126385,,,
1731621956.167586,,,
1731621957.279896,,,
1731621958.178571,,,
1731621959.243267,,,
1731621960.21916,,,
1731621961.299996,,,
1731621962.370375,,,
1731621963.410126,,,
1731621964.451827,,,
1731621965.522507,,,
1731621966.5362859,,,
1731621967.608691,,,
1731621968.667997,,,
1731621969.684271,,,
1731621970.727912,,,
1731621971.827185,,,
1731621972.8677492,,,
1731621973.928267,,,
1731621974.974761,,,
1731621976.0371041,,,
1731621977.0792608,,,
1731621978.124782,,,
1731621979.2074811,,,
1731621980.26349,,,
1731621981.304034,,,
1731621982.360519,,,
1731621983.3945658,,,
1731621984.467638,,,
1731621985.5592241,,,
1731621986.6683881,,,
1731621987.420649,,,
1731621988.4522529,,,
1731621989.493679,,,
1731621990.5780082,,,
1731621991.619566,,,
1731621992.6689548,,,
1731621993.538547,,,
1731621994.589746,,,
1731621995.625304,,,
1731621996.691571,,,
1731621997.769779,,,
1731621998.804943,,,
1731621999.853375,,,
1731622000.745611,,,
1731622001.7845702,,,
1731622002.8495092,,,
1731622003.937248,,,
1731622004.9858801,,,
1731622006.029875,,,
1731622007.055135,,,
1731622008.1113532,,,
1731622009.177032,,,
1731622010.232655,,,
1731622011.279702,,,
1731622012.331104,,,
1731622013.378145,,,
1731622014.24815,,,
1731622015.31707,,,
1731622016.3486762,,,
1731622017.37446,,,
1731622018.390561,,,
1731622019.425301,,,
1731622020.467537,,,
1731622021.5804632,,,
1731622022.497416,,,
1731622023.509422,,,
1731622024.5333178,,,
1731622025.5599391,,,
1731622026.604185,,,
1731622027.666139,,,
1731622028.7112389,,,
1731622029.7879648,,,
1731622030.7939358,,,
1731622031.8210251,,,
1731622032.85136,,,
